リスト番号,山名,読み,都道府県,標高,花,備考
28,赤城山,あかぎさん,群馬県,1827,クサタチバナ,日本百名山
29,榛名山,はるなさん,群馬県,1390,ユウスゲ,"榛名富士
上毛三山"
30,鳴神山,なるかみやま,群馬県,980,イワタバコ,桐生市
31,石裂山,おざくさん,栃木県,879,フタバアオイ,鹿沼市
32,三毳山,みかもやま,栃木県,229,カタクリ,カタクリの群生地
33,両神山,りょうかみさん,埼玉県,1723,ヒイラギソウ,"日本百名山
新日本百名山"
34,伊豆ヶ岳,いづがたけ,埼玉県,851,アズマイチゲ,飯能市
35,武州御岳山,ぶしゅうみたけさん,東京都,929,エイザンスミレ,"御岳登山鉄道
ケーブルカー"
36,雲取山,くもとりやま,"東京都, 埼玉県, 山梨県",2017,イワウチワ,"秩父多摩国立公園
花の百名山
日本百名山、新日本百名山
東京都の最高峰"
37,飛龍山,ひりゅうさん,"埼玉県, 山梨県",2077,ツバメオモト,秩父多摩国立公園
38,笠取山,かさとりやま,"埼玉県, 山梨県",1953,キバナノコマノツメ,秩父多摩国立公園
39,甲武信岳,こぶしだけ,"埼玉県, 山梨県, 長野県",2475,レンゲショウマ,"秩父多摩国立公園
日本百名山"
40,乾徳山,けんとくさん,山梨県,2031,イワインチン,日本二百名山
41,乙女高原,おとめこうげん,山梨県,1700,シモツケソウ,山梨市
42,大菩薩嶺,だいぼさつとうげ,山梨県,1897,スズラン,"大菩薩峠
花の百名山
日本百名山"
43,九鬼山,くきやま,山梨県,970,フジザクラ,道志山塊
44,二十六夜山,にじゅうろくやさん,山梨県,972,マルバスミレ,道志山塊
45,三ツ峠山,みつとうげやま,山梨県,1785,フジアザミ,日本二百名山
46,黒富士,くろふじ,山梨県,1633,セキヤノアキチョウジ,奥秩父山塊
47,甲斐駒ヶ岳,かいこまがたけ,山梨県,2967,タカネバラ,"南アルプス国立公園
日本百名山
日本の山一覧 (高さ順)(第24位)"
48,仙丈ヶ岳,せんじょうがたけ,"長野県, 山梨県",3033,イワギキョウ,"南アルプス国立公園
圏谷（カール）
花の百名山
日本百名山、新日本百名山
日本の山一覧 (高さ順)(第17位)"
